HOSTS ID,Insect Family,Insect Genus,Insect Species,Insect Subspecies,Insect Author,Hostplant Family,Hostplant Genus,Hostplant Species,Hostplant Subspecies/var,Location,Damage,Lab Rearing
32362,Hesperiidae,Pyrrhopyge,pelota,,Plötz,Myrtaceae,Psidium,guajava,,Argentina,,
98543,Psychidae,Oiketicus,platensis,,Berg,Leguminosae (P),Robinia,pseudoacacia,,Argentina,,
78693,Nymphalidae,Adelpha,syma,,Godart,Rosaceae,Rubus,fruticosus,,Argentina,,
87298,Nymphalidae,Ortilia,ithra,,Kirby,Acanthaceae,Ruellia,brittoniana,,Argentina,,
87767,Nymphalidae,Phystis,simois,,Hewitson,Acanthaceae,Ruellia,brittoniana,,Argentina,,
88582,Nymphalidae,Siproeta,trayja,,Hübner,Acanthaceae,Ruellia,brittoniana,,Argentina,,
78951,Nymphalidae,Anartia,amathea,,Linnaeus,Acanthaceae,Ruellia,longifolia,,Argentina,,
85112,Nymphalidae,Junonia,evarete,,Cramer,Acanthaceae,Ruellia,longifolia,,Argentina,,
86339,Nymphalidae,Metamorpha,epaphus,,Latreille,Acanthaceae,Ruellia,longifolia,,Argentina,,
87299,Nymphalidae,Ortilia,ithra,,Kirby,Acanthaceae,Ruellia,longifolia,,Argentina,,
31520,Hesperiidae,Lerodea,eufala,,Edwards,Gramineae,Saccharum,officinarum,,Argentina,,
31809,Hesperiidae,Panoquina,ocola,,Edwards,Gramineae,Saccharum,officinarum,,Argentina,,
31834,Hesperiidae,Panoquina,sylvicola,,Herrich-Schäffer,Gramineae,Saccharum,officinarum,,Argentina,,
35332,Lasiocampidae,Tolype,guentheri,,Berg,Salicaceae,Salix,,,Argentina,,
129385,Tortricidae,Clarkeulia,sp.,,,Salicaceae,Salix,alba,vitellina,Uruguay,,
129386,Tortricidae,Clarkeulia,sp.,,,Salicaceae,Salix,humboldtiana,,Uruguay,,
82468,Nymphalidae,Dynamine,agacles,,Dalman,Euphorbiaceae,Sapium,aucuparium,,Argentina,,
82471,Nymphalidae,Dynamine,agacles,,Dalman,Euphorbiaceae,Sapium,longifolium,,Argentina,,
5802,Coleophoridae,Coleophora,haywardi,,Pastrana,Anacardiaceae,Schinopsis,,,Argentina,,
101031,Pyralidae,Cabotia,schini,,Berg,Anacardiaceae,Schinus,molle,,Argentina,,
25345,Gracillariidae,Acrocercops,breyeri,,Bourquin,Compositae,Senecio,bonariensis,,Argentina,,
78573,Nymphalidae,Actinote,pellenea,,Hübner,Compositae,Senecio,bonariensis,,Argentina,,
78576,Nymphalidae,Actinote,perisa,,Jordan,Compositae,Senecio,bonariensis,,Argentina,,
131307,Tortricidae,Deltinea,costalimai,,Pastrana,Compositae,Senecio,bonariensis,,Argentina,,
97758,Psychidae,Curtorama,cassiae,,Weyenbergh,Leguminosae (C),Senna,aphylla,,Argentina,,
98392,Psychidae,Oiketicus,bergii,,Weyenbergh,Leguminosae (C),Senna,aphylla,,Argentina,on,
83903,Nymphalidae,Haematera,pyramus,,Hübner,Sapindaceae,Serjania,communis,,Argentina,,
58781,Noctuidae,Crombergia,teichii,,Berg,Smilacaceae,Smilax,,,Argentina,,
131308,Tortricidae,Deltinea,costalimai,,Pastrana,Solanaceae,Solanum,bonariense,,Argentina,,
